adjustment_ratio,adjustment_type,ann_type,avg_price_1d,avg_price_20d,bond_code,bond_name,delisting_date,doc_id,effective_date,evidence_page,evidence_text,last_convert_date,new_conv_price,notes,original_conv_price,premium_rate,pricing_base_date,publish_date,record_date,redemption_price,redemption_trigger,stock_code,stock_name,trigger_rule
,,强赎类公告,,,149539,21建房01,2026-07-13,0fb9af5c0fca7685,,,赎回价格：人民币104.38元/张（含当期应计利息且当期利息含税）。赎回登记日：2026年7月10日。赎回资金到账日：2026年7月13日。摘牌日：2026年7月13日。,,,,,4.38,,,2026-07-10,104.38,发行人将于本期债券存续期的第5年付息日前的第30个交易日，在交易所指定的信息披露媒体上发布关于是否行使赎回选择权的公告。若决定行使赎回权利，本期债券将被视为第5年全部到期,149539,建发房地产集团有限公司,
,,强赎类公告,,,128141,旺能转债,2026-05-20,0d4491c8a504ab4a,,1,1证券代码：002034 证券简称：旺能环境 公告编号：2026-56 债券代码：128141 债券简称：旺能转债 2026年5月19日为“旺能转债”最后一个转股日，当日收市前，持有“旺能转债”的投资者仍可进行转股；2026年5月19日收市后，仍未转股的“旺能转债”将停止转股，剩余可转债将按照100.844元/张（含息税）的价格强制赎回。,2026-05-19,,,,0.84,,2026-05-19,2026-05-19,100.84,连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,002034,旺能环境,
,,下修类公告,,,118024,冠宇转债,,15c8db470b26e087,,"Page1,Page3,Page4","证券代码：688772 证券简称：珠海冠宇 公告编号：2026-023
转债代码：118024 转债简称：冠宇转债
截至2026年3月20日，珠海冠宇电池股份有限公司（以下简称“公司”）股价已出现连续三十个交易日中有十五个交易日的收盘价低于当期转股价格的85%的情形，已触发“冠宇转债”转股价格的向下修正条件。
公司董事会和管理层在综合考虑宏观经济、市场环境、公司发展情况、股价走势等多重因素后，基于对公司的长期发展潜力与内在价值的信心，于2026年3月20日召开第二届董事会第三十九次会议，审议通过了《关于不向下修正“冠宇转债”转股价格的议案》。
公司董事会决定本次不向下修正“冠宇转债”转股价格，同时在未来两个月内（即2026年3月21日至2026年5月20日），如再次触发“冠宇转债”转股价格向下修正条件，亦不提出向下修正方案。",,,,22.89,,,2026-03-21,,,,688772,珠海冠宇,连续30个交易日中有15个交易日收盘价低于当期转股价格的85%
,,强赎类公告,,,111013,新港转债,2026-06-02,16c456fa50fe3336,,5,浙江新中港热电股份有限公司（以下简称“公司”）的股票自2026年3月31日至2026年4月21日连续15个交易日收盘价格不低于公司“新港转债”当期转股价格的130%（即11.27元/股），已触发“新港转债”的有条件赎回条款。赎回价格为100.3534元/张。赎回登记日：2026年6月1日。最后转股日：2026年6月1日。摘牌日期：2026年6月2日。溢价率：0.3534%。,2026-06-01,,,,0.35,,2026-05-28,2026-06-01,100.35,连续30个交易日收盘价不低于转股价的130%,605162,新中港,连续30个交易日收盘价不低于转股价的130%
40.07,主动下修,下修类公告,22.29,24.55,118027,宏图转债,,1b9272a66b161a74,2026-03-20,1,证券代码：688066证券简称：航天宏图 公告编号：2026-013 债券代码：118027债券简称：宏图转债 航天宏图信息技术股份有限公司关于向下修正“宏图转债”转股价格暨转股停牌的公告,,24.55,,40.94,,2026-03-18,2026-03-19,,,,688066,航天宏图,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,下修类公告,,,123180,浙矿转债,,1e021a56c77c5d43,,4,2026年3月12日至2026年3月25日，公司股票已有10个交易日的收盘价格低于当期转股价格的85%，即低于40.71元/股；转股价格：人民币47.89元/股,,,,47.89,,,2026-03-25,,,,300837,浙矿股份,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会表决
,,强赎类公告,,,148300,23广资01,2026-05-25,1f12792e645893ca,,1,赎回登记日：2026年5月22日。赎回价格：人民币103.18元/张（含当期利息，且当期利息含税）。,,,,,,,,2026-05-22,103.18,,,,
,,下修类公告,,,118053,正帆转债,,1fb17fd4938c055a,,,截至2026年3月23日，公司股票已出现连续三十个交易日中有十五个交易日的收盘价格低于当期转股价格的85%（即32.68元/股）的情形，公司于2026年3月23日召开第四届董事会第十九次会议，审议通过了《关于不向下修正“正帆转债”转股价格的议案》,,,,38.45,,,2026-03-24,,,,688596,上海正帆科技股份有限公司,连续30个交易日中有15个交易日收盘价低于当期转股价格的85%
,,强赎类公告,,,111023,利柏转债,,20c3a35eac0b5974,,3,2026年5月20日,,,,,,,2026-05-20,,,1）在转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。,605167,利柏特,
49.77,主动下修,下修类公告,16.6,16.5,110076,华海转债,,1f0b8841d52d4d13,2026-05-25,,自2026年3月27日至2026年4月17日期间，公司股价已出现任意三十个连续交易日中至少十五个交易日收盘价格低于当期转股价格80%（即26.45元/股）的情形，‘华海转债’转股价格已触发向下修正条款。2025年年度股东会召开日前二十个交易日（2026年4月20日至2026年5月20日）公司股票交易均价为16.50元/股；2025年年度股东会召开日前一交易日（2026年5月20日）公司股票交易均价为16.60元/股。本次修正后的转股价格自2026年5月25日起生效。,,16.6,,33.06,,2026-05-21,2026-05-21,,,,600521,华海药业,当公司股票在任意三十个连续交易日中至少十五个交易日收盘价格低于当期转股价格的80%时
,,强赎类公告,,,123054,思特转债,,2d69cf53599ce783,,6,赎回价格为102.90元/张（含息税）,2026-05-29,,,,2.9,,2026-05-18,2026-05-28,102.9,连续三十个交易日中有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300608,思特奇,连续三十个交易日中有十五个交易日的收盘价格不低于当期转股价格9.88元/股的130%（含130%）
,,下修类公告,,,113700,海天转债,,2d6652d08605b2cc,,"1,2,3",公司股票已经出现在任意三十个连续交易日中至少十五个交易日的收盘价格低于当期转股价格85%的情形，已触发《募集说明书》中约定的转股价格向下修正条款。经第五届董事会第四次会议审议通过，公司董事会决定本次不向下修正转股价格，并在作出本次董事会决议后3个月内（即2026年3月27日至2026年6月26日）亦不提出转股价格向下修正方案。,,,,,,,2026-03-27,,,,603759,海天水务集团股份公司,当公司A股股票在任意连续三十个交易日中有十五个交易日的收盘价低于当期转股价格的85%时
40.0,主动下修,下修类公告,,,118027,宏图转债,,30a2cdd854e250b2,,Page 1,证券代码：688066 证券简称：*ST航图 债券代码：118027 债券简称：宏图转债 转股价格：24.55元/股,,24.55,,40.94,,,2026-05-28,,,,688066,*ST航图,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,强赎类公告,,,128137,洁美转债,,34143da420648a5a,,6,自2026年5月11日起至2026年5月22日，浙江洁美电子科技股份有限公司（以下简称“公司”）股票已有10个交易日的收盘价不低于当期转股价格（即26.46元/股）的130%（即34.40元/股）。若此后公司股票收盘价继续不低于34.24元/股，则预计触发有条件赎回条款。,2026-11-03,,,,,,2026-05-23,2026-05-28,,公司股票在任意连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含）,002859,洁美科技,
,,强赎类公告,,,148097,22越控 04,2025-10-24,3576645e9c404f86,,8,广州越秀资本控股集团股份有限公司关于行使“ 22越控 04”发行人赎回选择权暨放弃行使发行人调整票面利率选择权的第一次提示性公告；赎回价格：人民币 102.65元/张（含当期利息，且当期利息含税）；摘牌日：2025年10月24日,,,,,2.65,,2025-09-11,2025-10-23,102.65,,,广州越秀资本控股集团股份有限公司,
,,强赎类公告,,,148097,22越控 04,,34e31ea48be50cb3,,3,2025年10月24日（如遇法定节假日或休息日，则顺延至其后的第1个交易日）为“22越控 04”第3个计息年度付息日，根据《募集说明书》有关条款约定，公司可决定是否行使发行人调整票面利率选择权或发行人赎回选择权。根据公司实际情况及当前的市场环境，公司决定放弃行使发行人调整票面利率选择权，并行使本期债券的发行人赎回选择权，对赎回登记日登记在册的“22越控 04”进行全额赎回。,,,,,,,2025-09-10,,,,,广州越秀资本控股集团股份有限公司,
,,下修类公告,,,123259,锦浪转02,,36933c941ce9fabf,,1,自2025年10月22日至2025年12月2日，公司股票在连续三十个交易日中有十个交易日的收盘价低于当期转股价格的85%。在本次发行的可转债存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会表决。,,,,89.82,,,2025-12-02,,,,300763,锦浪科技,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会表决。
,主动下修,下修类公告,,,113660,寿22转债,,38020326325819b2,,Page 3,自2026年3月16日至2026年4月3日期间，浙江寿仙谷医药股份有限公司（以下简称“公司”、“寿仙谷”）股票满足连续三十个交易日中有十五个交易日的收盘价低于“寿22转债”当期转股价格的85%（即31.31元/股），已触发“寿22转债”转股价格向下修正条款。公司于2026年4月3日召开第五届董事会第七次会议，审议通过了《关于不向下修正“寿22转债”转股价格的议案》，表决结果：同意票5票，反对票0票，弃权票0票，关联董事李明焱、李振皓、李振宇、徐靖回避表决。最新转股价格为36.84元/股,,36.84,,31.31,,,2026-04-04,,,,603896,寿仙谷,连续三十个交易日中有十五个交易日的收盘价低于当期转股价格的85%
,,强赎类公告,,,123054,思特转债,,379e88769409d3a1,,6,特此公告。北京思特奇信息技术股份有限公司董事会 2026年5月27日,2026-05-29,,,,2.9,,2026-05-27,2026-05-28,102.9,连续三十个交易日中有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300608,思特奇,
,,强赎类公告,,,148099,22万科 07,2025-10-31,3825c2e9188130a9,,7,证券代码： 000002、299903、148099；赎回登记日 ：2025年10月30日；赎回价格 ：人民币 103.45元/张（含当期利息，且当期利息含税）；摘牌日: 2025年10月31日；本期债券第3个计息年度付息日即为回售支付日；公司赎回债券可能会给投资者带来损失，请投资者注意投资风险。,,,,,3.45,,2025-10-13,2025-10-30,103.45,,000002,万科 A,
,,下修类公告,,,123262,神宇转债,,3a7df55e443a3c7e,,1,证券代码：300563 证券简称：神宇股份 公告编号：2026-018 债券代码：123262 债券简称：神宇转债,,,,39.31,,,2026-04-09,,,,300563,神宇股份,连续30个交易日中有15个交易日收盘价低于转股价的85%
,被动调整,下修类公告,,,123165,回天转债,,3c40a15c7a155501,,4,特此公告。湖北回天新材料股份有限公司董事会2026年1月27日,2028-10-26,,,15.2,,,2026-01-27,,,,300041,回天新材,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,被动调整,下修类公告,,,127062,垒知转债,,3b0e88fa1073ac05,2025-06-13,Page1,自2025年12月15日至2025年12月26日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格7.59元/股的85%，即6.45元/股的情形，预计触发转股价格向下修正条件。,,,,7.59,,2025-06-12,2025-12-27,,,,002398,垒知集团,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东大会表决。
,,下修类公告,,,123117,健帆转债,,3c90e81f0fc23ba2,,6,截至2026年4月14日，公司股票已出现连续三十个交易日中十五个交易日的收盘价格低于当期转股价格85%的情形，已触发‘健帆转债’转股价格向下修正条款。截至目前‘健帆转债’最新有效的转股价格为38.65元/股,,,,38.65,,2026-04-14,2026-04-14,,,,300529,健帆生物,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%时
,,强赎类公告,,,127026,超声转债,2026-06-15,3c4b94e6e5d45a2f,,7,证券代码：000823 证券简称：超声电子 公告编号：2026-032；赎回价格为101.04元/张（含息、含税）；赎回登记日为2026年6月12日；赎回日为2026年6月15日；停止转股日为2026年6月15日；赎回完成后将在深交所摘牌,2026-06-15,,,,1.04,,2026-06-01,2026-06-12,101.04,连续30个交易日收盘价不低于转股价的130%（含130%）,000823,超声电子,
,,下修类公告,,,123264,双乐转债,,3dc43ec0d3410551,,1,自2026年3月3日至2026年3月23日，公司股票已满足任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格（36.70元/股）的85%（即31.20元/股）,,,,36.7,,2026-03-23,2026-03-23,,,,301036,双乐股份,连续30个交易日中有15个交易日收盘价低于转股价的85%
,,下修类公告,,17.78,127056,中特转债,,3dda9c93b8d92ff5,,6,证券代码：000708，证券简称：中信特钢；债券代码：127056，债券简称：中特转债；转股价格：22.23元/股；2026年2月24日至2026年3月10日，公司已有10个交易日的收盘价低于‘中特转债’当期转股价格22.23元/股的80%（即17.78元/股）的情形,2028-02-24,,,22.23,,,2026-03-11,,,,000708,中信特钢,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的80%时
,,强赎类公告,,,148099,22万科 07,2025-10-31,3dfa0ddc604f0850,,6,赎回价格 ：人民币 103.45元/张（含当期利息，且当期利息含税）；摘牌日 : 2025年10月31日,,,,,3.45,,2025-09-25,2025-10-30,103.45,,000002,万科 A,
,,强赎类公告,,,123121,帝尔转债,2026-06-10,3f305542a7fe862f,,7,特此公告。武汉帝尔激光科技股份有限公司 董事会 2026年5月26日,2026-06-03,,,,2.07,,2026-05-26,2026-06-02,102.07,转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；,300776,武汉帝尔激光科技股份有限公司,
,主动下修,下修类公告,,,128138,侨银转债,,383e9d76acf1a76e,2024-11-25,4,侨银城市管理股份有限公司董事会2026年3月4日,,18.0,,25.03,,,2026-03-04,,,,002973,侨银股份,连续30个交易日中有15个交易日收盘价低于当期转股价格85%（即15.215元/股）的情形
,,强赎类公告,,,123126,瑞丰转债,2026-06-01,422a436023d3615f,,6,山东瑞丰高分子材料股份有限公司董事会2026年5月21日,2026-06-01,,,,,,2026-05-21,2026-05-29,102.532,在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300243,瑞丰高材,
,,下修类公告,,,118022,锂科转债,,429fdb10834e923f,2026-09-15,Page 3,公司董事会决定本次不向下修正转股价格，同时在未来六个月内（即自本次触发修正条件的次一交易日2026年3月16日起至2026年9月15日），如果再次触发“锂科转债”转股价格向下修正条件，亦不提出向下修正方案。,,,,15.53,,,2026-03-14,,,,688779,五矿新能,连续30个交易日中有15个交易日收盘价低于转股价的85%
,被动调整,下修类公告,,,110073,国投转债,,434740bd93b8fa5e,,1,2025年11月21日至2025年12月4日，公司股票已有十个交易日的收盘价低于当期转股价格的80%（7.54元/股）,,,,9.42,,,2025-12-05,,,,600061,国投资本,连续30个交易日中有15个交易日收盘价低于当期转股价格的80%
,,下修类公告,,,123122,富瀚转债,,42b34ecf8148f806,,1,截至2026年5月19日，上海富瀚微电子股份有限公司（以下简称“公司”）股票已出现连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%的情形，触发“富瀚转债”转股价格向下修正条款。,,,,91.69,,2026-05-19,2026-05-19,,,,300613,富瀚微,连续30个交易日中有15个交易日收盘价低于转股价的85%
15.01,被动调整,下修类公告,,,123072,乐歌转债,,42f8d8a6f1f4a701,,1,自2025年12月1日至2025年12月12日，乐歌人体工学科技股份有限公司的股票已有10个交易日的收盘价持续低于当期转股价格32.91元/股的85%，即27.97元/股的情形,,,,32.91,,,2025-12-12,,,,300729,乐歌股份,当公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格低于当期转股价格85%时
,被动调整,下修类公告,,,110076,华海转债,,43bb52461db6a3dd,,2,自2026年3月27日至2026年4月10日期间，公司股票已有10个交易日的收盘价低于当期转股价格的80%（即26.45元/股）,,,,33.06,,,2026-04-10,,,,600521,华海药业,当公司股票在任意三十个连续交易日中至少十五个交易日收盘价格低于当期转股价格的80%时，董事会有权提出转股价格向下修正方案并提交股东会表决
,,强赎类公告,,,111013,新港转债,2026-06-02,45f384353378dc7c,,5,浙江新中港热电股份有限公司董事会 2026年5月23日；赎回登记日：2026年6月1日；赎回价格：100.3534元/张；最后交易日：2026年5月27日；最后转股日：2026年6月1日；摘牌日期：2026年6月2日；当期应计利息0.3534元/张；转股价格8.67元/股；公司股票连续15个交易日收盘价格不低于当期转股价格的130%（即11.27元/股）,2026-06-01,,,,0.35,,2026-05-23,2026-06-01,100.35,连续30个交易日收盘价格不低于当期转股价格的130%（含本数）,605162,浙江新中港热电股份有限公司,
,,强赎类公告,,,149975,22万科 05,2025-07-08,47f52370c92fa5a7,,"2,4,7","证券代码： 000002、299903、149975；赎回价格 ：人民币 103.21元/张（含当期应计利息且当期利息含税）；赎回登记日 ：2025年7月7日；摘牌日: 2025年7月8日；每10张债券（面值为人民币1,000元）派发利息为人民币32.10元",,,,,3.21,,2025-06-17,2025-07-07,103.21,,000002,万科 A,
,,强赎类公告,,,127024,盈峰转债,2026-05-29,48a3a4abc3c7ffdd,,8,证券代码：000967 公告编号：2026-068号；2026年4月10日至2026年4月30日，公司股票已满足连续三十个交易日中至少有十五个交易日的收盘价不低于‘盈峰转债’当期转股价格的130%（即9.971元/股）；赎回价格为人民币101.129元/张（含息税）；2026年5月28日为赎回登记日；2026年5月28日为最后转股日；2026年5月29日为赎回日；2026年5月29日起停止转股；本次赎回完成后，‘盈峰转债’将在深圳证券交易所摘牌。,2026-05-28,,,,,,2026-05-23,2026-05-28,101.13,连续30个交易日收盘价不低于当期转股价格的130%,000967,盈峰环境科技集团股份有限公司,连续30个交易日收盘价不低于当期转股价格的130%
,主动下修,下修类公告,,,118020,芳源转债,,483ec5ad5bd2eae7,2026-01-23,Page 4,2026年4月13日至2026年4月24日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格的85%（即11.90元/股），预计触发转股价格向下修正条件。修正后的转股价格自2026年1月23日起生效。,,14.0,,18.63,,2026-01-23,2026-04-25,,,,688148,芳源股份,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,下修类公告,,,128124,科华转债,,441060bbe58b184d,,,截至2026年3月9日，上海科华生物工程股份有限公司（以下简称“公司”）股票已出现在任意连续20个交易日中至少有10个交易日的收盘价低于当期转股价的90%的情形。公司董事会决定本次不向下修正‘科华转债’转股价格，且自本次董事会审议通过之日起至‘科华转债’到期日（即2026年3月10日至2026年7月27日）内，如再次触发‘科华转债’转股价格向下修正条款，亦不提出向下修正方案。,,,,20.64,,,2026-03-10,,,,002022,上海科华生物工程股份有限公司,当公司股票在任意连续20个交易日中至少有10个交易日的收盘价低于当期转股价格的90%时
,,强赎类公告,,,149529,21申证Y1,2026-06-24,4920a8f287f9d0d3,,6,赎回登记日：2026年6月23日；赎回价格：人民币104.10元/张（含当期应计利息且当期利息含税）；摘牌日：2026年6月24日；2026年5月日,,,,,4.1,,2026-05-20,2026-06-23,104.1,于本期债券第5个和其后每个付息日，发行人有权按面值加应付利息（包括所有递延支付的利息及其孳息）赎回本期债券,,,
,,强赎类公告,,,118004,博瑞转债,2026-05-22,49f2ec0b5483ae87,,7,证券代码：688166 证券简称：博瑞医药 转债代码：118004 转债简称：博瑞转债；赎回登记日：2026年5月21日；赎回价格：100.9452元/张；最后转股日：2026年5月21日；摘牌日期：2026年5月22日；连续30个交易日收盘价格不低于当期转股价格的130％；2026年5月18日收盘价为175.848元/张；赎回价格为100.9452元/张,2026-05-21,,,,0.95,,2026-05-19,2026-05-21,100.95,连续30个交易日收盘价格不低于当期转股价格的130％,688166,博瑞医药,连续30个交易日收盘价格不低于当期转股价格的130％
,,强赎类公告,,,123126,瑞丰转债,,4a0bd96c7ce1749b,,1,2026年5月29日收市后，‘瑞丰转债’将停止转股，剩余‘瑞丰转债’将按照102.532元/张的价格被强制赎回。,2026-06-01,,,,2.53,,2026-05-27,2026-05-29,102.53,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。",300243,瑞丰高材,
,,强赎类公告,,,148437,23新化K1,,4a1e8d0295944175,,5,2025 7 25，根据公司实际情况及当前市场环境，公司决定放弃行使赎回选择权。,,,,,,,2025-07-25,,,,148437,新疆中泰化学股份有限公司,
,,强赎类公告,,,148418,23长开03,2025-08-11,4991ea9b38f7bba1,,1,1债券代码：148418.SZ 债券简称：23长开03,,,,,7.1,,,2025-08-08,107.1,,,,
0.71,主动下修,下修类公告,,,123065,宝莱转债,,4e3667ca0a37407a,2026-03-17,,2026年4月16日至2026年4月29日，公司股票已有10个交易日的收盘价格低于当期转股价格（23.80元/股）的90%；‘宝莱转债’的转股价格由23.97元/股向下修正为23.80元/股,,23.8,,23.97,,,2026-04-29,,,,300246,宝莱特,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的90%
,,强赎类公告,,,127024,盈峰转债,2026-05-29,4dc907576025e6c9,,Page 6,2026年5月29日为“盈峰转债”赎回日，公司将全额赎回截至赎回登记日（2026年5月28日）收市后在中登公司登记在册的“盈峰转债”。本次赎回完成后，“盈峰转债”将在深圳证券交易所摘牌。赎回价格为人民币101.129元/张（含息税）,2026-05-28,,,,,,2026-05-27,2026-05-28,101.13,在本次发行的可转换公司债券转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%）,000967,盈峰环境科技集团股份有限公司,
,,下修类公告,,,110073,国投转债,,4ef5bd109a25ef20,,"1,2",截至2026年4月2日，国投资本股价已出现任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的80%之情形，触及“国投转债”转股价格向下修正条款。当前转股价格为人民币9.42元/股,,,,9.42,,,2026-04-03,,,,600061,国投资本,连续30个交易日中有15个交易日收盘价低于转股价的80%
,,强赎类公告,,,113644,艾迪转债,,526ff7dfcabac4d0,,3,自2026年5月7日起至2026年5月20日，已有10个交易日的收盘价格不低于‘艾迪转债’当期转股价格18.65元/股的130%，即不低于24.25元/股。2026年5月21日,,,,,,,2026-05-21,,,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,603638,艾迪精密,
,,强赎类公告,,,149297,20万科 08,2025-11-13,51a6fab4b448d38f,,6,证券代码： 000002、299903、149297；赎回登记日 ：2025年11月12日；赎回价格 ：人民币 104.11元/张（含当期利息，且当期利息含税）；摘牌日: 2025年11月13日；二〇二五年九月二十四日,,,,,4.11,,2025-09-24,2025-11-12,104.11,发行人有权决定在本期债券存续期的第5年末行使 本期债券 赎回选择权,000002,万科 A,
15.0,被动调整,下修类公告,,,128134,鸿路转债,,5313d4a1fbb9f942,,3,自2025年12月1日起至2025年12月12日，公司股票已有10个交易日的收盘价格低于当期转股价格32.08元/股的85%，即27.27元/股的情形,,32.08,,32.44,,2025-12-01,2025-12-13,,,,002541,鸿路钢构,当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
